league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1915,Texas League,regular,Waco,0,M90018,Hardy,Ellis,,
1915,Texas League,regular,San Antonio,0,M90026,Leidy,George,,
1915,Texas League,regular,Fort Worth,1,M90039,Nance,William,,
1915,Texas League,regular,Fort Worth,2,M90047,Atz,Jake,,
1915,Texas League,regular,Dallas,0,M90052,Dunn,Joe,,
1915,Texas League,regular,Houston,0,M90060,Newnam,Pat,,
1915,Texas League,regular,Shreveport,1,M90071,Garvin,Lee,,
1915,Texas League,regular,Shreveport,2,M90083,Smith,Syd,,
1915,Texas League,regular,Beaumont,0,M90094,Swann,Ducky,,
1915,Texas League,regular,Galveston,0,M90107,Sentell,Paul,,
